media_type,connection_type,id,name,original_price,current_price,url,source,vendor_sku,manufacturer,gb_per_eur,discount,size_tb,eur_per_tb
hdd,,dustinhome:5020037116,Seagate Barracuda 24TB,375.87,375.87,https://www.dustinhome.fi/product/5020037116,dustinhome,ST24000DM001,Seagate,65.384,0.0,24.0,15.661
hdd,sata,verk:797449,"Seagate BarraCuda 8 Tt SATAIII 256 Mt 3,5"" -kovalevy",148.99,148.99,https://verk.com/797449,verkkokauppa,ST8000DM004,Seagate,54.984,0.0,8.0,18.624
hdd,,dustinhome:5020037115,Seagate Barracuda 16TB,300.57,300.57,https://www.dustinhome.fi/product/5020037115,dustinhome,ST16000DM001,Seagate,54.51,0.0,16.0,18.786
hdd,sata,verk:797470,"Seagate Exos X18 16 Tt SATAIII 256 Mt 3,5"" -kovalevy",316.99,316.99,https://verk.com/797470,verkkokauppa,ST16000NM000J,Seagate,51.686,0.0,16.0,19.812
hdd,sata,jimms:176805,"Seagate 8TB BarraCuda, sisäinen 3.5"" kiintolevy, SATA III, 256MB",189.0,160.9,https://www.jimms.fi/fi/Product/Show/Product/Show/176805/st8000dm004/seagate-8tb-barracuda-sisainen-3-5-kiintolevy-sata-iii-256mb,jimms,ST8000DM004,Seagate,50.914,28.1,8.0,20.112
hdd,,dustinhome:5011324321,Toshiba Enterprise Capacity 20TB 512E,409.9,409.9,https://www.dustinhome.fi/product/5011324321,dustinhome,MG10ACA20TE,Toshiba,49.963,0.0,20.0,20.495
hdd,,dustinhome:5011286361,Toshiba N300 18TB BULK,369.0,369.0,https://www.dustinhome.fi/product/5011286361,dustinhome,HDWG51JUZSVA,Toshiba,49.951,0.0,18.0,20.5
hdd,sata,verk:797512,"Seagate Exos X20 20 Tt SATAIII 256 Mt 3,5"" -kovalevy",422.99,422.99,https://verk.com/797512,verkkokauppa,ST20000NM007D,Seagate,48.417,0.0,20.0,21.15
hdd,sata,jimms:185218,"Seagate 20TB Exos X20, sisäinen 3.5"" kiintolevy, SATA III, 7200 rpm, 256MB",427.9,427.9,https://www.jimms.fi/fi/Product/Show/Product/Show/185218/st20000nm007d/seagate-20tb-exos-x20-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-256mb,jimms,ST20000NM007D,Seagate,47.862,0.0,20.0,21.395
hdd,,dustinhome:5020003445,Toshiba Enterprise Capacity 18TB 512E,389.0,389.0,https://www.dustinhome.fi/product/5020003445,dustinhome,MG09ACA18TE,Toshiba,47.383,0.0,18.0,21.611
hdd,,dustinhome:5020035581,Toshiba N300 22TB BULK,479.0,479.0,https://www.dustinhome.fi/product/5020035581,dustinhome,HDWG62CUZSVA,Toshiba,47.031,0.0,22.0,21.773
hdd,,dustinhome:5011244414,Toshiba N300 16TB BULK,349.0,349.0,https://www.dustinhome.fi/product/5011244414,dustinhome,HDWG31GUZSVA,Toshiba,46.946,0.0,16.0,21.812
hdd,,dustinhome:5020035578,Toshiba N300 20TB BULK,439.0,439.0,https://www.dustinhome.fi/product/5020035578,dustinhome,HDWG62AUZSVA,Toshiba,46.651,0.0,20.0,21.95
hdd,sata,verk:928828,"Seagate SkyHawk AI 24 Tt SATAIII 512 Mt 3,5"" -kovalevy",528.99,528.99,https://verk.com/928828,verkkokauppa,ST24000VE002,Seagate,46.458,0.0,24.0,22.041
hdd,sata,verk:928522,"Seagate Exos X24 24 Tt SATAIII 512 Mt 3,5"" -kovalevy",530.99,530.99,https://verk.com/928522,verkkokauppa,ST24000NM002H,Seagate,46.283,0.0,24.0,22.125
hdd,sata,verk:725129,"Seagate Exos X18 18 Tt SATAIII 256 Mt 3,5"" -kovalevy",398.99,398.99,https://verk.com/725129,verkkokauppa,ST18000NM000J,Seagate,46.197,0.0,18.0,22.166
hdd,,dustinhome:5011300944,WD Ultrastar DC HC570 22TB 512E,489.9,489.9,https://www.dustinhome.fi/product/5011300944,dustinhome,0F48155,Western Digital,45.985,0.0,22.0,22.268
